Raison Sociale,site_id,FAIT,category,TEXTE FRANÇAIS,TEXTE  ANGLAIS,PHOTO,Longitude,Latitude,Ville,,Type,Sous-type,Ligne adresse 1,NumÈro,ComplÈment numÈro,Type de voie,Voie,Ligne adresse 3,Boite postale,Code postal,,Bureau distributeur,Indicateur cÈdex,CÈdex,TÈlÈphone,Mail,Adresse Web,,,
Jardin Pierre Puget,67,O,,"Le jardin Pierre Puget se situe en haut du Cours Pierre-Puget. Une voie située dans le 6e arrondissement de Marseille. Il relie la place Estrangin à la colline Pierre Puget et à la rue du Commandant de Surian, en passant devant le palais de justice. Au pied du jardin se trouve la statue de Pierre Puget, sculptée par Henri-Édouard Lombard, qui se trouvait auparavant place du Général-de-Gaulle. Pierre Puget, né le 16 octobre 1620 et mort le 2 décembre 1694 à Marseille est un sculpteur, dessinateur, peintre et architecte français du xviie siècle. Il fut célébré par de nombreux auteurs au XVIIIe et XIXe siècle comme « le Michel-Ange de la France », l'un des représentants de l'esprit classique français du Grand siècle dans la sculpture, comme le fut Nicolas Poussin pour la peinture.
Il est l'un des introducteurs de l'Art baroque en France, bien illustré par ses réalisations architecturales.",,,5.371185477523795,43.28987556016977,Marseille,,,,,,,,,,,,,,,,,,,,,
Friche Belle de Mai,68,O,,"La Friche Belle de Mai est un lieu culturel de Marseille regroupant des salles de spectacle et d'exposition et une soixantaine de structures artistiques et culturelles de toutes disciplines (théâtre, danse, musique, art contemporain, radio).
La Friche, ouverte en 1992, est construite dans l'ancienne Manufacture des tabacs de Marseille, dans le quartier de la Belle de Mai. Se présentant elle-même comme un « pôle d'auteurs », la Friche axe son action avant tout sur la création et la production d'oeuvres. C'est aussi un lieu de spectacle et de diffusion. La salle de spectacles du Cabaret aléatoire y est notamment implantée. Un skatepark y a ouvert en 2009. La Friche accueille de nombreuses associations culturelles comme l'A.M.I et possède une des rares couveuses d'entreprises française dédiées au milieu culturel.
À l’occasion de la Capitale européenne de la culture, la Friche développe de nouveaux projets, l’îlot 3, dédié aux arts visuels et aux spectacles vivants. La tour Panorama, nouvel espace de 4 000m2 de diffusion pour l’art contemporain, ouvre au public. Une extension du bâtiment est posée en toiture des Magasins et reliée à la tour. Le bâtiment des Magasins est réhabilité en bureaux et ateliers pour les artistes et producteurs résidents (7 500 m2 de locaux créés) et sa terrasse — belvédère sur la ville — est réaménagée pour offrir un vaste espace ouvert au public de 8 000 m2.1",,,5.390457900000001,43.3095508,Marseille,mp2013,,,,,,,,,,,,,,,,,,,,
Stade Vélodrome,69,O,,"Le stade Vélodrome est une enceinte sportive située à Marseille en France. Bâti dans le 8e arrondissement de la ville, c'est le principal équipement sportif de Marseille. Le Vélodrome est, depuis son inauguration en 1937, utilisé par le club de football de l'Olympique de Marseille.
Le stade de 35 000 places connaît plusieurs extensions au cours du XXe siècle, le changement le plus notable étant celui précédant la Coupe du monde de football 1998, l'enceinte passant à 60 000 places et n'ayant plus de toit. Le Vélodrome changera encore de configuration d'ici le Championnat d'Europe de football 2016, avec la couverture du stade et une capacité augmentée de 7 000 places. Le stade n'est pas réservé au football : il accueille dans ses débuts des courses cyclistes (d'où le nom de Vélodrome) mais aussi des rencontres du Marseille XIII, club phocéen du rugby à XIII dans les années 1950, certaines rencontres de phase finale du Championnat de France de rugby à XV et du RC Toulon ainsi que des concerts.
Le Vélodrome est le deuxième stade de France en termes de places disponibles, derrière le Stade de France, avec une capacité de 60 031 spectateurs. La capacité est réduite à 40 023 places durant les travaux de rénovation pour l'Euro 2016.",,,5.393718658197031,43.26920679740739,Marseille,,,,,,,,,,,,,,,,,,,,,
Musée Cantini,70,O,,"Le Musée Cantini est un musée situé au 19 de la rue Grignan à Marseille. Il abrite des collections d'art moderne et d’art.Cet hôtel particulier est édifié en 1694 pour la Compagnie du Cap Nègre, spécialisée dans la pêche du corail sur les cotes nord de la Tunisie et dans le commerce des laines de la cire et des cuirs.
À la suite de difficultés financières de cette compagnie, l’hôtel particulier est vendu le 1er juin 1709 à Dominique de Montgrand époux de Marguerite de Bionneau, arrière-grand-père de Jean-Baptiste-Jacques-Guy-Thérèse de Montgrand, futur maire de Marseille4. qui le vendit par acte du 27 février 1801 à Louis Joseph Chaudoin.
Le 18 juin 1816 Dieudonné Bernadac achète ce bâtiment qui devient ensuite en 1888 la propriété de Jules Cantini. Après avoir été loué au club des Phocéens, l’immeuble est légué en 1916 à la ville de Marseille, à charge pour elle d’y créer un musée des arts décoratifs qui ne s’ouvrit au public qu’en 1936.",,,5.3782019999999875,43.292169,Marseille,,,,,,,,,,,,,,,,,,,,,
Musée regard de provence,71,O,,"Le Musée Regards de Provence rapproche des peintures, des sculptures, des dessins et des photographies de plasticiens, d’écrits d’auteurs.
Dans cette réunion de témoignages sur la Provence de la fin du xixe siècle à nos jours, des œuvres plastiques et littéraires sont imprégnées de la culture et de la lumière de cette région et de son histoire.
Certains créateurs ont travaillé ensemble, confrontant leurs œuvres en totale harmonie, d’autres ont fait des rencontres fortuites, dotées d’un attrait et d’une passion comparables pour la même terre.",,,5.363484667597959,43.297660233164336,Marseille,mp2013,,,,,,,,,,,,,,,,,,,,
Bibliothèque départementale des Bouches du Rhône,72,O,,"Le bâtiment marseillais se situe au 18 de la rue Mirès, dans la zone d'Euroméditerranée dans le 3ème arrondissement. Le bâtiment porte le nom de Gaston Defferre. D'une superficie totale de 28 000 mètres carrés, il contient notamment une salle de lecture de 110 places, une salle d'actualité, un auditorium et des salles d'exposition.",,,5.371342000000027,43.311608,Marseille,mp2013,,,,,,,,,,,,,,,,,,,,
FRAC,73,O,mp13,"Le nouveau bâtiment du Fonds Régional d’Art Contemporain (FRAC) est réalisé par Kengo Kuma. Créé en 1983 par l’État et la Région à l’instar des autres Fonds régionaux d’art contemporain dans le cadre de la décentralisation, le Frac Provence-Alpes-Côte d’Azur a pour mission de constituer une collection publique, d’en assurer sa diffusion et sa médiation et de soutenir la création artistique.
Fin 2012, il quitte le centre historique du Panier pour emménager en plein quartier de la Joliette, dans le périmètre d’Euroméditerranée. Ce projet de construction s’inscrit dans le cadre de la politique de développement des Frac dits de « nouvelle génération » afin de les doter d’un outil adapté et performant, à la hauteur de leurs missions, et d’une meilleure lisibilité à l’échelle régionale, nationale et internationale. Sont ainsi regroupées en un même lieu, autour d’un programme architectural organisé en plateaux, l’ensemble des activités du FRAC et la totalité de sa collection, soit plus de neuf cents oeuvres.","A new building for the Fonds Régional d’Art Contemporain Provence-Alpes-Côte d’Azur (regional contemporary art fund or FRAC PACA) has been designed by Kengo Kuma. The FRAC PACA was created by the French government and the Provence-Alpes-Côte d’Azur Region in 1983 as part of the French government’s move towards decentralisation. Its goals are to build a public collection, ensure its exhibition and promotion, and support artistic creation.",,5.367505400000027,43.30570609999999,Marseille,mp2013,,,,,,,,,,,,,,,,,,,,
Oratoire Saint Pierre,,,,,,,5.0078451,43.7100748,EyguiËres,,cdt:Monument,Oratoire,,,,Route,De la Vaullongue,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Chapelle Saint Roch,,,,,,,5.025986,43.69043,EyguiËres,,cdt:Monument,Chapelle,,,,Chemin,Saint Roch,,,13430,,EYGUIERES,non,,04 90 59 88 00,,,,,
Eglise Saint-Jacques,,,,,,,5.189124,43.684265,VernËgues,,cdt:Monument,Eglise,,,,,,Vieux Village de VernËgues,,13116,,VERNEGUES,non,,04 90 59 36 07,,,,,
Oratoire Saint Marc,,,,,,,5.0078451,43.7100748,EyguiËres,,cdt:Monument,Oratoire,,,,Chemin,De Saint Roch ‡ Saint Marc,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
La Croix du Repos,,,,,,,5.025293,43.691824,EyguiËres,,cdt:Monument,Chemin de croix - croix,CimetiËre,,,Avenue,Saint VÈrÈdËme,,,13430,,EYGUIERES,non,,04 90 59 88 00,,,,,
CimetiËre,,,,,,,4.944688,43.755712,EyguiËres,,cdt:Monument,CimetiËre historique - nÈcropole - tombeau,,,,Route,D'Aureille,,,13430,,EYGUIERES,non,,04 90 59 88 00,,,,,
Oratoire Saint Symphorien,,,,,,,5.035118,43.70217,EyguiËres,,cdt:Monument,Oratoire,,,,Chemin,Des FrËres Mineurs,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Oratoire Saint Joseph,,,,,,,5.035118,43.70217,EyguiËres,,cdt:Monument,Oratoire,,,,Chemin,Des FrËres Mineurs,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Viaduc du TGV MÈditerrannÈe,,,,,,,5.189124,43.684265,VernËgues,,cdt:Monument,Viaduc,,,,,,,,13116,,VERNEGUES,non,,04 90 59 36 07,,,,,
Le vieil amandier du Plateau du Grand Puech,,,,,,,5.169454,43.687751,VernËgues,,cdt:Monument,Monument divers,,,,,,Vieux Village de VernËgues,,13116,,VERNEGUES,non,,04 90 59 36 07,,,,,
Plateau du Grand Puech,,,,,,,5.189124,43.684265,VernËgues,,cdt:Site,Quartier historique,,,,,,,,13116,,VERNEGUES,non,,04 90 59 36 07,,,,,
Lavoir de Naud,,,,,,,5.189124,43.684265,VernËgues,,cdt:Monument,Lavoir,,,,RD,22b,,,13116,,VERNEGUES,non,,04 90 59 36 07,,,,,
Oratoire Sainte Anne,,,,,,,5.0078451,43.7100748,EyguiËres,,cdt:Monument,Oratoire,,,,Chemin,De Sainte Anne,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
HÙtel Garcin,,,,,,,5.030631,43.695106,EyguiËres,,cdt:Monument,HÙtel particulier,,,,Place,Thiers,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Chapelle Saint VÈrÈdËme,,,,,,,5.0078451,43.7100748,EyguiËres,,cdt:Monument,Chapelle,,,,,,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Oratoire Saint Gens,,,,,,,5.079327,43.75166,EyguiËres,,cdt:Monument,Oratoire,,,,Route,D'Orgon,,,13430,,EYGUIERES,non,,04 90 59 82 44,,,,,
Chapelle des PÈnitents,,,,,,,5.747153,43.360967,Saint Zacharie,,cdt:Monument,Chapelle,,,,,,,,83640,,ST ZACHARIE,non,,04 42 32 63 28,,http://www.saintzacharie.com,,,
Chapelle Saint Clair,,,,,,,5.747153,43.360967,Saint Zacharie,,cdt:Monument,Chapelle,,,,Square,Reda Caire,,,83640,,ST ZACHARIE,non,,04 42 32 63 28,,http://www.saintzacharie.com,,,
Le Lavoir,,,,,,,5.747153,43.360967,Saint Zacharie,,cdt:Monument,Lavoir,,,,,,,,83640,,ST ZACHARIE,non,,04 42 32 63 23,,http://www.saintzacharie.com,,,
Les 16 Fontaines de Saint-Zacharie,,,,,,,5.747153,43.360967,Saint Zacharie,,cdt:Monument,Fontaine,,,,,,,,83640,,ST ZACHARIE,non,,04 42 32 63 28,,"http://www.saintzacharie.com

http://www.saintzacharie.com/telechargement/guidefontaines.pdf",,,
Eglise St Jean-Baptiste,,,,,,,5.707414,43.384539,Saint Zacharie,,cdt:Monument,Eglise,,,,Rue,Du 14 Juillet,,,83640,,ST ZACHARIE,non,,04 42 32 63 28,,http://www.saintzacharie.com,,,
CHAPELLE SAINT JULLIEN,,,,,,,5.0130453,43.5806186,Miramas,,cdt:Monument,Chapelle,,,,,,,,13140,,MIRAMAS,non,,04 90 58 08 24,,,,,
Eglise paroissiale Notre de Dame de Beauvezet,,,,,,,5.0245158,43.5633083,Miramas,,cdt:Monument,Eglise,,,,Rue,Mistral,,,13140,,MIRAMAS,non,,04 90 58 08 24,,,,,
Fontaine des Quatre Saisons,,,,,,,4.8058176,43.7209858,Maussane les Alpilles,,cdt:Monument,Fontaine,,,,Place,Laugier de Monblan,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,,,,,
Eglise Sainte Croix,,,,,,,4.812272,43.724232,Maussane les Alpilles,,cdt:Monument,Eglise,,,,Place,Laugier de Monblan,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 30 23,,,,,
Petit lavoir et fontaine du planet,,,,,,,4.800726,43.722731,Maussane les Alpilles,,cdt:Monument,Lavoir,,,,Rue,Charloun rieu,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,,http://www.maussane.com,,,
Carte de France de la pierre de taille,,,,,,,4.8065409,43.7221774,Maussane les Alpilles,,cdt:Monument,Monument divers,Parc Agora Alpilles,,,Avenue,Des Alpilles,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,tourisme@maussane.com,http://maussane.com,,,
Oratoire Saint-Marc,,,,,,,4.806541,43.722177,Maussane les Alpilles,,cdt:Monument,Oratoire,,,,Route,De St RÈmy,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,,,,,
Oratoire Saint Roch,,,,,,,4.807234,43.720853,Maussane les Alpilles,,cdt:Monument,Oratoire,,,,Rue,Saint Roch,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,,,,,
Oratoire Saint Eloi,,,,,,,4.805034,43.715021,Maussane les Alpilles,,cdt:Monument,Oratoire,,,,Avenue,Du General De Gaulle,,,13520,,MAUSSANE LES ALPILLES,non,,04 90 54 33 60,,,,,
SÈmaphore,,,,,,,5.052102,43.333254,Martigues,,cdt:Monument,Tour - beffroi - campanile,,44,,Chemin,Du SÈmaphore,La Couronne - Carro,,13500,,MARTIGUES,non,,04 42 80 70 67,,,,,
Parcours archÈologique sur les pas de CÈsar,,,,,,,5.0702794,43.3812134,Martigues,,cdt:Site,Site archÈologique divers,,,,,,,,13500,,MARTIGUES,non,,04 42 42 31 10,,,,,
Eglise de la Couronne,,,,,,,5.052694,43.338117,Martigues,,cdt:Monument,Eglise,,,,Place,Des Traceurs de Pierres,La Couronne,,13500,,MARTIGUES,non,,04 42 49 61 70,,,,,
Les Bories,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,Patrimoine divers,,,,,,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,,,,
Statue Notre Dame d'Aurons,,,,,,,5.149453,43.672184,Aurons,,cdt:Monument,Patrimoine divers,,,,,,,,13121,,AURONS,non,,04 90 55 63 02,,,,,
La nÈcropole Saint-Vincent,,,,,,,5.070856,43.5625026,Cornillon Confoux,,cdt:Monument,CimetiËre historique - nÈcropole - tombeau,,,,,,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,,,,
Ancien moulin ‡ vent,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Moulin,,,,Avenue,Georges ClÈmenceau,,,13980,,ALLEINS,non,,04 90 59 37 05,ot.massif.des.costes@wanadoo.fr,,,,
HÙtel de ville,,,,,,,4.782098,43.832349,Maillane,,cdt:Monument,Edifice administratif,,,,,,,,13910,,MAILLANE,non,,04 90 95 74 06,,,,,
Viaduc Saint LÈger,,,,,,,5.039007,43.550739,Saint Chamas,,cdt:Monument,Viaduc,,,,Avenue,Adam de Craponne,,,13250,,ST CHAMAS,non,,04 90 50 90 54,tourisme-saintchamas@orange.fr,,,,
Fontaine de la Durance,,,,,,,4.853854,43.880232,Ch‚teaurenard,,cdt:Monument,Fontaine,,,,Place,De la RÈpublique,,,13160,,CHATEAURENARD,non,,04 90 24 25 50,ot@ville-chateaurenard.fr,,,,
Porte du Fort,,,,,,,5.035208,43.546297,Saint Chamas,,cdt:Monument,Porte,,,,Chemin,Des Baumes,,,13250,,ST CHAMAS,non,,04 90 50 90 54,tourisme-saintchamas@orange.fr,,,,
PresbytËre,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,PresbytËre,,,,Place,De l'Èglise,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,http://www.cornillonconfoux.fr,,,
Chapelle Sainte Croix,,,,,,,5.545979,43.220422,Cassis,,cdt:Monument,Chapelle,,,,Chemin,De la Chapelle,,,13260,,CASSIS,non,,0,,,,,
Rempart nord,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Remparts,,,,Place,EugËne Garcin,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Les remparts,,,,,,,5.0368005,43.7917436,Orgon,,cdt:Monument,Remparts,,,,,,,,13660,,ORGON,non,,04 90 73 09 54,,,,,
PresbytËre d'Aurons,,,,,,,5.149453,43.672184,Aurons,,cdt:Monument,PresbytËre,,,,Avenue,Gaston Cabrier,,,13121,,AURONS,non,,04 90 55 63 02,mairie-aurons@orange.fr,http://www.aurons.fr,,,
Rue Pierre Curie,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Patrimoine divers,,,,Rue,Pierre Curie,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Moulins,,,,,,,4.841977,43.841579,Eyragues,,cdt:Monument,Moulin,,,,,,,,13630,,EYRAGUES,non,,04 90 92 84 47,,,,,
Oppidum de Notre-Dame de PitiÈ,,,,,,,5.24322509765625,43.408539390911386,Marignane,,cdt:Site,Oppidum,,,,,,La Plaine Notre Dame,,13700,,MARIGNANE,oui,,04 42 31 12 97,,,,,
Pont Bonaparte,,,,,,,5.604256,43.350183,Roquevaire,,cdt:Monument,Pont,,,,,,,,13717,,ROQUEVAIRE,non,,04 42 04 01 99,,http://www.ville-de-roquevaire.fr,,,
Chapelle Saint-Vincent,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,Chapelle,,,,,,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,,,,
Croix du Coq,,,,,,,4.793686,43.837853,Maillane,,cdt:Monument,Chemin de croix - croix,,,,Route,D'Eyragues,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
Eglise Saint-Vincent,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,"Eglise

Abbaye",,,,Place,De l'Èglise,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,,,,
Voies romaines et prÈ-romaines,,,,,,,5.193726,43.625407,PÈlissanne,,cdt:Site,Route - Voie historique,,,,,,,,13330,,PELISSANNE,non,,04 90 55 15 55,,,,,
Chapelle Saint Denis,,,,,,,5.090185,43.707188,Lamanon,,cdt:Monument,Chapelle,,,,,,,,13113,,LAMANON,non,,"04 90 59 54 62

06 76 51 76 22",calessaintdenis@free.fr,http://www.cales-lamanon.fr,,,
Ch‚teau d' Alleins,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Ch‚teau,,,,Cours,Victor Hugo,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Eglise de Ceyreste,,,,,,,5.619656,43.200985,Ceyreste,,cdt:Monument,Eglise,,,,,,,,13600,,CEYRESTE,non,,04 42 83 77 10,,,,,
Village de La Bouilladisse,,,,,,,5.592942,43.395354,La Bouilladisse,,cdt:Site,Village perchÈ - village pittoresque,,,,,,,,13720,,LA BOUILLADISSE,non,,04 42 62 97 08,,http://www.ville-bouilladisse.com/,,,
Four ‡ pain,,,,,,,5.569213,43.292386,Aubagne,,cdt:Monument,Patrimoine divers,,,,Rue,Torte,,,13400,,AUBAGNE,non,,04 42 03 49 98,,,,,
Lavoir d'Aurons,,,,,,,5.149453,43.672184,Aurons,,cdt:Monument,Lavoir,,,,Avenue,Gaston Cabrier,,,13121,,AURONS,non,,04 90 55 63 02,,,,,
Le Beffroi de PÈlissanne,,,,,,,5.149714,43.630243,PÈlissanne,,cdt:Monument,Tour - beffroi - campanile,,,,Place,Cabardel,,,13330,,PELISSANNE,non,,04 90 55 15 55,,,,,
Cour de Porcelet,,,,,,,4.794614,43.743139,Les Baux de Provence,,cdt:Site,Place - Cours,,,,Rue,Trencat,,,13520,,LES BAUX DE PROVENCE,non,,04 90 54 34 39,tourisme@lesbauxdeprovence.com,http://www.lesbauxdeprovence.com,,,
Village de la Destrousse,,,,,,,5.606815,43.374906,La Destrousse,,cdt:Site,Village perchÈ - village pittoresque,,,,,,,,13112,,LA DESTROUSSE,non,,04 42 18 49 30,,http://www.mairieladestrousse.com,,,
Borne milliaire,,,,,,,5.150567,43.631049,PÈlissanne,,cdt:Monument,Borne milliaire,,,,Route,Des Quatre Thermes,,,13330,,PELISSANNE,non,,04 90 55 15 55,,,,,
Tombe seigneuriale sous arcade,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,CimetiËre historique - nÈcropole - tombeau,,,,,,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 17,otcornillonconfoux@free.fr,,,,
Cour de Manville,,,,,,,4.7952205,43.7440454,Les Baux de Provence,,cdt:Site,Place - Cours,HÙtel de Manville,,,,Grand Rue,,,13520,,LES BAUX DE PROVENCE,non,,04 90 54 34 39,tourisme@lesbauxdeprovence.com,http://www.lesbauxdeprovence.com,,,
Aqueduc de la Penne sur Huveaune,,,,,,,5.514531,43.276288,La Penne sur Huveaune,,cdt:Monument,Aqueduc,,,,Chemin,Raymond Retord,,,13713,,LA PENNE SUR HUVEAUNE,non,,04 91 88 44 00,,http://www.oti-paysdaubagne.com,,,
Chapelle Notre Dame Du Bon Voyage,,,,,,,5.549764,43.218326,Cassis,,cdt:Monument,Chapelle,La Presqu'Óle,,,,,,,13260,,CASSIS,non,,0,,,,,
Le Beffroi d'Alleins,,,,,,,5.162212,43.704371,Alleins,,cdt:Monument,Tour - beffroi - campanile,,,,Place,De la Republique,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Les vestiges de St Chamas,,,,,,,5.038872,43.5507116,Saint Chamas,,cdt:Site,Village perchÈ - village pittoresque,,,,,,,,13250,,ST CHAMAS,non,,04 90 50 90 54,,,,,
Le centre ancien,,,,,,,5.0368005,43.7917436,Orgon,,cdt:Site,Quartier historique,,,,,,,,13660,,ORGON,non,,04 90 73 09 54,,,,,
Village d'Orgon,,,,,,,5.0368005,43.7917436,Orgon,,cdt:Site,CitÈ mÈdiÈvale,,,,,,,,13660,,ORGON,non,,04 90 73 09 54,,,,,
Mas de la Samatane,,,,,,,4.91724,43.640058,Saint Martin de Crau,,cdt:Monument,Mas,,,,RN,113,,,13310,,SAINT MARTIN DE CRAU,non,,04 90 55 12 56,,,,,
Le ch‚teau de Confoux,,,,,,,5.070856,43.562503,Cornillon Confoux,,cdt:Monument,"Ch‚teau-fort

Ch‚teau",,,,,,,,13250,,CORNILLON CONFOUX,non,,04 90 50 43 14,otcornillonconfoux@free.fr,,,,
Couvent,,,,,,,5.159646,43.495338,Berre l'Etang,,cdt:Monument,Couvent,,,,,,,,13130,,BERRE L'ETANG,non,,04 42 74 93 00,,,,,
Moulin ‡ blÈ Saint- Joseph,,,,,,,5.04946,43.612554,Grans,,cdt:Monument,,,,,Chemin,Du Moulin ‡ BlÈ,,,13450,,GRANS,non,,04 90 55 88 92,otgrans@orange.fr,,,,
Galerie Manville,,,,,,,4.7952205,43.7440454,Les Baux de Provence,,cdt:Site,Place - Cours,HÙtel de Manville,,,,Grand Rue,,,13520,,LES BAUX DE PROVENCE,non,,04 90 54 34 39,,,,,
Croix du Mas de la Croix,,,,,,,4.902241,43.861639,Noves,,cdt:Monument,Chemin de croix - croix,,,,Route,Des Paluds,,,13550,,NOVES,non,,04 90 92 90 43,,http://www.noves.com,,,
HÙpital de Quiqueran,,,,,,,4.795495,43.743887,Les Baux de Provence,,cdt:Monument,HÙpital (monument historique),,,,,,,,13520,,LES BAUX DE PROVENCE,non,,04 90 54 55 56,,http://www.chateau-baux-provence.com,,,
Statue de la Vierge dorÈe,,,,,,,4.855685,43.8820059,Ch‚teaurenard,,cdt:Monument,Patrimoine divers,,,,,,Pic Chabaud,,13160,,CHATEAURENARD,non,,04 90 24 25 50,,,,,
Croix du Mas de Mouret,,,,,,,4.798794,43.823348,Maillane,,cdt:Monument,Chemin de croix - croix,,,,Route,De St RÈmy,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
Eglise Saint Michel,,,,,,,5.538008,43.215475,Cassis,,cdt:Monument,Eglise,,,,Place,Saint Michel,,,13260,,CASSIS,non,,04 42 01 70 72,goupillon@club-internet.fr,http://cassis.paroisse.free.fr/,,,
Village de Grans,,,,,,,5.042942,43.616877,Grans,,cdt:Site,Village perchÈ - village pittoresque,,,,,,,,13450,,GRANS,non,,00 00 00 00 00,,,,,
Passage du Canal de Craponne par Alleins,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Canal historique,,,,,,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
StËle Henri Fabre,,,,,,,5.057085,43.405714,Martigues,,cdt:Monument,Patrimoine divers,,,,Quai,KlÈber,,,13500,,MARTIGUES,non,,00 00 00 00 00,,,,,
Chapelle de l'Oeuvre de Jeunesse,,,,,,,5.602709,43.175348,La Ciotat,,cdt:Monument,Chapelle,,,,Boulevard,Michelet,,,13600,,LA CIOTAT,non,,04 42 71 43 82,,,,,
Croix d'Arles,,,,,,,4.769404,43.826638,Maillane,,cdt:Monument,Chemin de croix - croix,,,,Route,De Tarascon,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
La Route du Calvaire,,,,,,,5.155915,43.709955,Alleins,,cdt:Site,Route - Voie historique,,,,,,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Le Clocher,,,,,,,5.604011,43.34875,Roquevaire,,cdt:Monument,Eglise,,,,,,,,13717,,ROQUEVAIRE,non,,04 42 04 01 99,,http://www.ville-de-roquevaire.fr,,,
Oratoire Saint-Eloi,,,,,,,4.778707,43.830543,Maillane,,cdt:Monument,Oratoire,,,,Avenue,Montmajour,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
Village de BelcodËne,,,,,,,5.587664,43.426993,BelcodËne,,cdt:Site,Village perchÈ - village pittoresque,,,,,,,,13720,,BELCODENE,non,,04 42 70 66 66,mairie@belcodene.com,http://www.belcodene.com,,,
Chapelle Notre Dame de MisÈricorde,,,,,,,5.071672,43.555806,Saint Chamas,,cdt:Monument,Chapelle,,,,,,,,13250,,ST CHAMAS,non,,04 90 50 94 25,,,,,
Habitats troglodytiques,,,,,,,5.038872,43.550712,Saint Chamas,,cdt:Site,Grotte archÈologique,,,,,,,,13250,,ST CHAMAS,non,,04 90 50 90 54,,,,,
Lavoir des PassadouÔres,,,,,,,5.193726,43.625407,PÈlissanne,,cdt:Monument,Lavoir,,,,Rue,Des PassadouÔres,,,13330,,PELISSANNE,non,,04 90 55 15 55,,,,,
Les croix et calvaire,,,,,,,4.855685,43.8820059,Ch‚teaurenard,,cdt:Monument,Chemin de croix - croix,,,,,,,,13160,,CHATEAURENARD,non,,04 90 24 25 50,,,,,
Rue de la FraternitÈ,,,,,,,5.155915,43.709955,Alleins,,cdt:Monument,Place - cours,,,,Rue,De la FraternitÈ,,,13980,,ALLEINS,non,,04 90 59 37 05,,,,,
Chapelle Saint-Anne dites Chapelle MËre de Dieu,,,,,,,5.04946,43.612554,Grans,,cdt:Monument,Chapelle,,,,,,,,13450,,GRANS,non,,04 90 55 88 92,otgrans@orange.fr,,,,
Eglise paroissiale Sainte-Agathe,,,,,,,4.782098,43.832349,Maillane,,cdt:Monument,Eglise,,,,,,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
Niches urbaines,,,,,,,4.782098,43.832349,Maillane,,cdt:Monument,Statue,,,,,,,,13910,,MAILLANE,non,,04 32 61 93 86,,,,,
Eglise de l'Assomption,,,,,,,5.0368005,43.7917436,Orgon,,cdt:Monument,Eglise,,,,,,,,13660,,ORGON,non,,04 90 73 09 54,,,,,
Chapelle Saint-Laurent,,,,,,,5.150567,43.631049,PÈlissanne,,cdt:Monument,Chapelle,,,,,,,,13330,,PELISSANNE,non,,04 90 55 15 55,,,,,
Eglise de Saint-Loup,,,,,,,5.431546,43.2826197,,,cdt:Monument,Eglise,,71,,Boulevard,De Saint-loup,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
